No. , DateTime, packetNumber, packet_nAddpos, packet_nPos ,packet_ArrayByte, Ticks
1, 2022-03-14 PM 5:38:40 and 386ms, 12, 99, 0, 637828763203863680, 
2, 2022-03-14 PM 5:47:14 and 860ms, 131, 62, 0, 637828768348601330, 
3, 2022-03-14 PM 5:47:14 and 939ms, 970003, 12, 0, 637828768349399920, 
4, 2022-03-14 PM 5:47:14 and 955ms, 970102, 66, 0, 637828768349559110, 
5, 2022-03-14 PM 5:47:15 and 943ms, 970107, 730, 0, 637828768359430710, 
6, 2022-03-14 PM 5:47:16 and 95ms, 970108, 142, 0, 637828768360955630, 
7, 2022-03-14 PM 5:47:16 and 144ms, 970024, 40, 0, 637828768361444990, 
8, 2022-03-14 PM 5:47:16 and 159ms, 970135, 22, 0, 637828768361590240, 
9, 2022-03-14 PM 5:47:16 and 170ms, 970138, 594, 0, 637828768361706380, 
10, 2022-03-14 PM 5:47:16 and 186ms, 10226, 604, 0, 637828768361865620, 
11, 2022-03-14 PM 5:47:16 and 196ms, 970114, 327, 0, 637828768361965460, 
12, 2022-03-14 PM 5:47:16 and 211ms, 10205, 78, 0, 637828768362112940, 
13, 2022-03-14 PM 5:47:16 and 230ms, 10227, 423, 0, 637828768362301530, 
14, 2022-03-14 PM 5:47:16 and 246ms, 10201, 20, 0, 637828768362465680, 
15, 2022-03-14 PM 5:47:17 and 166ms, 970112, 13, 0, 637828768371668240, 
16, 2022-03-14 PM 5:47:19 and 308ms, 970123, 10, 0, 637828768393082550, 
17, 2022-03-14 PM 5:47:19 and 323ms, 970123, 13, 0, 637828768393233530, 
18, 2022-03-14 PM 5:47:19 and 607ms, 970123, 31, 0, 637828768396078880, 
19, 2022-03-14 PM 5:47:20 and 527ms, 970123, 11, 0, 637828768405276990, 
20, 2022-03-14 PM 5:47:20 and 744ms, 970123, 12, 0, 637828768407447000, 
21, 2022-03-14 PM 5:47:22 and 399ms, 970123, 10, 0, 637828768423999150, 
22, 2022-03-14 PM 5:47:23 and 804ms, 970123, 13, 0, 637828768438047600, 
23, 2022-03-14 PM 5:47:24 and 123ms, 970123, 9, 0, 637828768441230210, 
24, 2022-03-14 PM 5:47:25 and 760ms, 970112, 13, 0, 637828768457601510, 
25, 2022-03-14 PM 5:47:25 and 776ms, 10210, 38, 0, 637828768457765770, 
26, 2022-03-14 PM 5:47:27 and 850ms, 970112, 13, 0, 637828768478509240, 
27, 2022-03-14 PM 5:47:27 and 867ms, 10202, 74, 0, 637828768478672890, 
28, 2022-03-14 PM 5:47:28 and 185ms, 10214, 38, 0, 637828768481859290, 
29, 2022-03-14 PM 5:47:28 and 202ms, 10202, 77, 0, 637828768482026830, 
30, 2022-03-14 PM 5:47:30 and 560ms, 970123, 10, 0, 637828768505600660, 
31, 2022-03-14 PM 5:47:32 and 231ms, 10215, 13, 0, 637828768522319300, 
32, 2022-03-14 PM 5:47:32 and 248ms, 10202, 95, 0, 637828768522480290, 
33, 2022-03-14 PM 5:47:32 and 415ms, 10214, 59, 0, 637828768524155500, 
34, 2022-03-14 PM 5:47:32 and 432ms, 10202, 77, 0, 637828768524321280, 
35, 2022-03-14 PM 5:47:32 and 616ms, 10214, 41, 0, 637828768526164620, 
36, 2022-03-14 PM 5:47:32 and 633ms, 10202, 74, 0, 637828768526333800, 
37, 2022-03-14 PM 5:47:34 and 654ms, 970123, 13, 0, 637828768546548490, 
38, 2022-03-14 PM 5:47:35 and 692ms, 10214, 38, 0, 637828768556929500, 
39, 2022-03-14 PM 5:47:35 and 709ms, 10202, 73, 0, 637828768557099110, 
40, 2022-03-14 PM 5:47:37 and 198ms, 970123, 31, 0, 637828768571987510, 
41, 2022-03-14 PM 5:47:37 and 631ms, 970123, 10, 0, 637828768576319690, 
42, 2022-03-14 PM 5:47:40 and 709ms, 10205, 61, 0, 637828768607098060, 
43, 2022-03-14 PM 5:47:40 and 726ms, 970106, 9, 0, 637828768607266350, 
44, 2022-03-14 PM 5:47:40 and 742ms, 10215, 9, 0, 637828768607422180, 
45, 2022-03-14 PM 5:47:40 and 757ms, 10202, 75, 0, 637828768607579310, 
46, 2022-03-14 PM 5:47:41 and 9ms, 10214, 39, 0, 637828768610098370, 
47, 2022-03-14 PM 5:47:41 and 27ms, 970112, 65, 0, 637828768610274930, 
